x,y
133.9832763671875,-682.0769653320312
138.45782470703125,-680.8761596679688
141.80775451660156,-679.658203125
145.7896728515625,-677.8887329101562
149.3709259033203,-676.0953979492188
153.599853515625,-673.9461059570312
157.95541381835938,-671.8488159179688
161.74742126464844,-670.09375
166.34173583984375,-667.8699951171875
171.12660217285156,-665.4583740234375
174.98403930664062,-663.4178466796875
178.84500122070312,-661.1539916992188
183.44476318359375,-658.2105102539062
188.1204833984375,-655.0418701171875
192.0777130126953,-652.3073120117188
196.92385864257812,-648.9420166015625
200.9904022216797,-646.0912475585938
205.86627197265625,-642.6351928710938
210.87640380859375,-639.057373046875
216.32781982421875,-635.1578979492188
221.77818298339844,-631.2648315429688
227.4939727783203,-627.190673828125
233.23667907714844,-623.1043090820312
239.45083618164062,-618.68798828125
245.62109375,-614.3072509765625
251.6107177734375,-610.235107421875
257.6941833496094,-606.406494140625
263.6778564453125,-603.0712280273438
269.36871337890625,-600.3565673828125
275.32196044921875,-598.0427856445312
280.7727966308594,-596.3921508789062
286.7904357910156,-595.1138305664062
292.046875,-594.3871459960938
296.9572448730469,-594.026123046875
